
2024/09/18 (04:19:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/18 (04:27:55) | ERROR: Stall in Runner thread, restarting!

2024/09/18 (17:29:27) | ===> btop++ v.1.3.2
2024/09/18 (17:29:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (18:36:51) | ===> btop++ v.1.3.2
2024/09/18 (18:36:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:24:33) | ===> btop++ v.1.3.2
2024/09/18 (19:24:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:28:04) | ===> btop++ v.1.3.2
2024/09/18 (19:28:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (21:54:51) | ===> btop++ v.1.3.2
2024/09/19 (21:54:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (22:07:48) | ===> btop++ v.1.3.2
2024/09/19 (22:07:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (20:31:39) | ===> btop++ v.1.4.0
2024/09/30 (20:31:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (20:31:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (23:12:41) | ===> btop++ v.1.4.0
2024/10/04 (23:12:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (23:12:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (02:19:31) | ===> btop++ v.1.4.0
2024/10/19 (02:19:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (02:19:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (02:21:51) | ===> btop++ v.1.4.0
2024/10/19 (02:21:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (02:21:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (18:07:23) | ===> btop++ v.1.4.0
2024/10/22 (18:07:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (18:07:23) | WARNING: Intel GPU: Failed to initialize PMU
